Date,Purchase_Bid,Sell_Bid,MCV,Final_Scheduled_Volume,MCP,Weighted_MCP_lag_1,Weighted_MCP_lag_2,Weighted_MCP_lag_3,Weighted_MCP_lag_4,Weighted_MCP_lag_5,Weighted_MCP_lag_6,Weighted_MCP_lag_7,Purchase_Bid_lag_1,Purchase_Bid_lag_2,Purchase_Bid_lag_3,Purchase_Bid_lag_4,Purchase_Bid_lag_5,Purchase_Bid_lag_6,Purchase_Bid_lag_7,Sell_Bid_lag_1,Sell_Bid_lag_2,Sell_Bid_lag_3,Sell_Bid_lag_4,Sell_Bid_lag_5,Sell_Bid_lag_6,Sell_Bid_lag_7
2022-04-08,399412.1,203683.91,184268.3,184804.6,10101.73,8188.62,7098.81,4881.02,6425.96,4457.39,7245.8,13660.71,375221.21,342291.64,254533.5,278983.69,229460.21,296797.84,363563.49,232741.82,207482.13,260134.26,235762.36,288467.87,263436.5,204683.07
2022-04-09,375717.02,195362.28,177061.0,177061.0,10126.73,9907.44,8188.62,7098.81,4881.02,6425.96,4457.39,7245.8,399412.1,375221.21,342291.64,254533.5,278983.69,229460.21,296797.84,203683.91,232741.82,207482.13,260134.26,235762.36,288467.87,263436.5
2022-04-10,333305.14,238671.45,187728.88,186604.82,8055.56,10009.58,9907.44,8188.62,7098.81,4881.02,6425.96,4457.39,375717.02,399412.1,375221.21,342291.64,254533.5,278983.69,229460.21,195362.28,203683.91,232741.82,207482.13,260134.26,235762.36,288467.87
2022-04-11,411202.99,181574.2,174176.44,174176.44,11041.95,7956.44,10009.58,9907.44,8188.62,7098.81,4881.02,6425.96,333305.14,375717.02,399412.1,375221.21,342291.64,254533.5,278983.69,238671.45,195362.28,203683.91,232741.82,207482.13,260134.26,235762.36
2022-04-12,417635.51,177546.49,167930.44,167930.44,10953.01,10823.31,7956.44,10009.58,9907.44,8188.62,7098.81,4881.02,411202.99,333305.14,375717.02,399412.1,375221.21,342291.64,254533.5,181574.2,238671.45,195362.28,203683.91,232741.82,207482.13,260134.26
2022-04-13,457931.17,161542.0,154561.5,154461.5,10897.01,10778.4,10823.31,7956.44,10009.58,9907.44,8188.62,7098.81,417635.51,411202.99,333305.14,375717.02,399412.1,375221.21,342291.64,177546.49,181574.2,238671.45,195362.28,203683.91,232741.82,207482.13
2022-04-14,400271.57,185729.41,158583.5,158583.5,9347.03,10519.96,10778.4,10823.31,7956.44,10009.58,9907.44,8188.62,457931.17,417635.51,411202.99,333305.14,375717.02,399412.1,375221.21,161542.0,177546.49,181574.2,238671.45,195362.28,203683.91,232741.82
2022-04-15,368103.46,197410.88,164657.23,164657.23,9744.77,8758.77,10519.96,10778.4,10823.31,7956.44,10009.58,9907.44,400271.57,457931.17,417635.51,411202.99,333305.14,375717.02,399412.1,185729.41,161542.0,177546.49,181574.2,238671.45,195362.28,203683.91
2022-04-16,351308.16,174303.76,147038.48,147038.48,10178.65,9393.69,8758.77,10519.96,10778.4,10823.31,7956.44,10009.58,368103.46,400271.57,457931.17,417635.51,411202.99,333305.14,375717.02,197410.88,185729.41,161542.0,177546.49,181574.2,238671.45,195362.28
2022-04-17,236218.94,214503.83,138474.14,138474.14,6954.68,9881.34,9393.69,8758.77,10519.96,10778.4,10823.31,7956.44,351308.16,368103.46,400271.57,457931.17,417635.51,411202.99,333305.14,174303.76,197410.88,185729.41,161542.0,177546.49,181574.2,238671.45
2022-04-18,334985.1,157015.04,144357.98,144357.98,10601.46,7176.96,9881.34,9393.69,8758.77,10519.96,10778.4,10823.31,236218.94,351308.16,368103.46,400271.57,457931.17,417635.51,411202.99,214503.83,174303.76,197410.88,185729.41,161542.0,177546.49,181574.2
2022-04-19,348863.69,162132.28,144500.21,144500.21,10489.36,10339.12,7176.96,9881.34,9393.69,8758.77,10519.96,10778.4,334985.1,236218.94,351308.16,368103.46,400271.57,457931.17,417635.51,157015.04,214503.83,174303.76,197410.88,185729.41,161542.0,177546.49
2022-04-20,414132.8,140440.03,131017.5,131017.5,11444.13,10246.05,10339.12,7176.96,9881.34,9393.69,8758.77,10519.96,348863.69,334985.1,236218.94,351308.16,368103.46,400271.57,457931.17,162132.28,157015.04,214503.83,174303.76,197410.88,185729.41,161542.0
2022-04-21,451093.13,121633.28,117287.16,117287.16,11841.81,11316.63,10246.05,10339.12,7176.96,9881.34,9393.69,8758.77,414132.8,348863.69,334985.1,236218.94,351308.16,368103.46,400271.57,140440.03,162132.28,157015.04,214503.83,174303.76,197410.88,185729.41
2022-04-22,538648.47,101898.82,99186.32,99186.32,12000.0,11829.4,11316.63,10246.05,10339.12,7176.96,9881.34,9393.69,451093.13,414132.8,348863.69,334985.1,236218.94,351308.16,368103.46,121633.28,140440.03,162132.28,157015.04,214503.83,174303.76,197410.88
2022-04-23,700726.77,89191.25,89191.25,89191.25,12000.0,12000.0,11829.4,11316.63,10246.05,10339.12,7176.96,9881.34,538648.47,451093.13,414132.8,348863.69,334985.1,236218.94,351308.16,101898.82,121633.28,140440.03,162132.28,157015.04,214503.83,174303.76
2022-04-24,442725.71,112523.72,106036.36,106036.36,11343.76,12000.0,12000.0,11829.4,11316.63,10246.05,10339.12,7176.96,700726.77,538648.47,451093.13,414132.8,348863.69,334985.1,236218.94,89191.25,101898.82,121633.28,140440.03,162132.28,157015.04,214503.83
2022-04-25,538169.87,84312.12,84312.12,84312.12,12000.0,11325.92,12000.0,12000.0,11829.4,11316.63,10246.05,10339.12,442725.71,700726.77,538648.47,451093.13,414132.8,348863.69,334985.1,112523.72,89191.25,101898.82,121633.28,140440.03,162132.28,157015.04
2022-04-26,479016.7,76347.39,76347.39,76347.39,12000.0,12000.0,11325.92,12000.0,12000.0,11829.4,11316.63,10246.05,538169.87,442725.71,700726.77,538648.47,451093.13,414132.8,348863.69,84312.12,112523.72,89191.25,101898.82,121633.28,140440.03,162132.28
2022-04-27,481061.77,80439.1,80439.1,80439.1,12000.0,12000.0,12000.0,11325.92,12000.0,12000.0,11829.4,11316.63,479016.7,538169.87,442725.71,700726.77,538648.47,451093.13,414132.8,76347.39,84312.12,112523.72,89191.25,101898.82,121633.28,140440.03
2022-04-28,660866.2,54349.86,54349.86,54349.86,12000.0,12000.0,12000.0,12000.0,11325.92,12000.0,12000.0,11829.4,481061.77,479016.7,538169.87,442725.71,700726.77,538648.47,451093.13,80439.1,76347.39,84312.12,112523.72,89191.25,101898.82,121633.28
2022-04-29,762110.1,47417.6,47417.6,47417.6,12000.0,12000.0,12000.0,12000.0,12000.0,11325.92,12000.0,12000.0,660866.2,481061.77,479016.7,538169.87,442725.71,700726.77,538648.47,54349.86,80439.1,76347.39,84312.12,112523.72,89191.25,101898.82
2022-04-30,713308.04,45331.17,45331.17,45331.17,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,11325.92,12000.0,762110.1,660866.2,481061.77,479016.7,538169.87,442725.71,700726.77,47417.6,54349.86,80439.1,76347.39,84312.12,112523.72,89191.25
2022-05-01,412476.43,73752.33,73419.28,73419.28,11968.66,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,11325.92,713308.04,762110.1,660866.2,481061.77,479016.7,538169.87,442725.71,45331.17,47417.6,54349.86,80439.1,76347.39,84312.12,112523.72
2022-05-02,336618.93,73148.22,73148.22,73148.22,12000.0,11956.55,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,412476.43,713308.04,762110.1,660866.2,481061.77,479016.7,538169.87,73752.33,45331.17,47417.6,54349.86,80439.1,76347.39,84312.12
2022-05-03,277823.35,106301.43,96564.08,96564.08,11745.39,12000.0,11956.55,12000.0,12000.0,12000.0,12000.0,12000.0,336618.93,412476.43,713308.04,762110.1,660866.2,481061.77,479016.7,73148.22,73752.33,45331.17,47417.6,54349.86,80439.1,76347.39
2022-05-04,397808.2,102239.81,97361.75,97361.75,11669.49,11638.24,12000.0,11956.55,12000.0,12000.0,12000.0,12000.0,277823.35,336618.93,412476.43,713308.04,762110.1,660866.2,481061.77,106301.43,73148.22,73752.33,45331.17,47417.6,54349.86,80439.1
2022-05-05,341834.62,101354.63,93334.62,93334.63,11304.13,11452.88,11638.24,12000.0,11956.55,12000.0,12000.0,12000.0,397808.2,277823.35,336618.93,412476.43,713308.04,762110.1,660866.2,102239.81,106301.43,73148.22,73752.33,45331.17,47417.6,54349.86
2022-05-06,247290.09,107756.32,91345.84,91345.84,10380.1,10992.02,11452.88,11638.24,12000.0,11956.55,12000.0,12000.0,341834.62,397808.2,277823.35,336618.93,412476.43,713308.04,762110.1,101354.63,102239.81,106301.43,73148.22,73752.33,45331.17,47417.6
2022-05-07,233076.2,134475.51,100984.03,100984.03,9620.95,10118.73,10992.02,11452.88,11638.24,12000.0,11956.55,12000.0,247290.09,341834.62,397808.2,277823.35,336618.93,412476.43,713308.04,107756.32,101354.63,102239.81,106301.43,73148.22,73752.33,45331.17
2022-05-08,135393.43,142903.35,75145.21,75145.21,6844.69,9382.96,10118.73,10992.02,11452.88,11638.24,12000.0,11956.55,233076.2,247290.09,341834.62,397808.2,277823.35,336618.93,412476.43,134475.51,107756.32,101354.63,102239.81,106301.43,73148.22,73752.33
2022-05-09,170429.4,136998.95,94079.82,94079.82,8088.64,7235.54,9382.96,10118.73,10992.02,11452.88,11638.24,12000.0,135393.43,233076.2,247290.09,341834.62,397808.2,277823.35,336618.93,142903.35,134475.51,107756.32,101354.63,102239.81,106301.43,73148.22
2022-05-10,155469.26,172410.5,98274.66,98274.66,5484.38,8275.96,7235.54,9382.96,10118.73,10992.02,11452.88,11638.24,170429.4,135393.43,233076.2,247290.09,341834.62,397808.2,277823.35,136998.95,142903.35,134475.51,107756.32,101354.63,102239.81,106301.43
2022-05-11,185659.78,193402.49,106851.4,106851.4,5876.71,5450.17,8275.96,7235.54,9382.96,10118.73,10992.02,11452.88,155469.26,170429.4,135393.43,233076.2,247290.09,341834.62,397808.2,172410.5,136998.95,142903.35,134475.51,107756.32,101354.63,102239.81
2022-05-12,189254.2,204481.24,114909.94,114909.95,5887.1,5945.11,5450.17,8275.96,7235.54,9382.96,10118.73,10992.02,185659.78,155469.26,170429.4,135393.43,233076.2,247290.09,341834.62,193402.49,172410.5,136998.95,142903.35,134475.51,107756.32,101354.63
