Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
01-04-2022,363563.49,204683.07,194078.82,194078.82,13764.02,13660.71
02-04-2022,296797.84,263436.50,194046.52,194046.52,7410.41,7245.80
03-04-2022,229460.21,288467.87,156781.57,156781.57,4497.30,4457.39
04-04-2022,278983.69,235762.36,165691.80,165691.80,6414.63,6425.96
05-04-2022,254533.50,260134.26,162892.08,162892.08,4974.64,4881.02
06-04-2022,342291.64,207482.13,171912.25,171912.25,7258.17,7098.81
07-04-2022,375221.21,232741.82,196807.42,196807.42,8482.86,8188.62
08-04-2022,399412.10,203683.91,184268.30,184804.60,10101.73,9907.44
09-04-2022,375717.02,195362.28,177061.00,177061.00,10126.73,10009.58
10-04-2022,333305.14,238671.45,187728.88,186604.82,8055.56,7956.44
11-04-2022,411202.99,181574.20,174176.44,174176.44,11041.95,10823.31
12-04-2022,417635.51,177546.49,167930.44,167930.44,10953.01,10778.40
13-04-2022,457931.17,161542.00,154561.50,154461.50,10897.01,10519.96
14-04-2022,400271.57,185729.41,158583.50,158583.50,9347.03,8758.77
15-04-2022,368103.46,197410.88,164657.23,164657.23,9744.77,9393.69
16-04-2022,351308.16,174303.76,147038.48,147038.48,10178.65,9881.34
17-04-2022,236218.94,214503.83,138474.14,138474.14,6954.68,7176.96
18-04-2022,334985.10,157015.04,144357.98,144357.98,10601.46,10339.12
19-04-2022,348863.69,162132.28,144500.21,144500.21,10489.36,10246.05
20-04-2022,414132.80,140440.03,131017.50,131017.50,11444.13,11316.63
21-04-2022,451093.13,121633.28,117287.16,117287.16,11841.81,11829.40
22-04-2022,538648.47,101898.82,99186.32,99186.32,12000.00,12000.00
23-04-2022,700726.77,89191.25,89191.25,89191.25,12000.00,12000.00
24-04-2022,442725.71,112523.72,106036.36,106036.36,11343.76,11325.92
25-04-2022,538169.87,84312.12,84312.12,84312.12,12000.00,12000.00
26-04-2022,479016.70,76347.39,76347.39,76347.39,12000.00,12000.00
27-04-2022,481061.77,80439.10,80439.10,80439.10,12000.00,12000.00
